Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""1e14087b-9241-49a9-b192-c121c236e0de""","""My Sub""","""ffd601d5-5153-4d71-8bbb-60306d95cb0d""","""Pay-As-You-Go""",1,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
201802(1/1/2018 - 1/31/2018),"""Networking""",,"""Data Transfer In (GB)""","""Zone 1""",,"""GB""",72.47573821,0.00000000,0,72.47573821,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Networking""",,"""Data Transfer Out (GB)""","""Zone 1""","""7TD-00001""","""GB""",56.55227212,5.00000000,0,51.55227212,USD,0,0,0.0870960641569487432322313711,$4.49 USD
201802(1/1/2018 - 1/31/2018),"""Azure App Service""",,"""Free App Service""",,,"""Apps""",11.76403200,10.00000000,0,1.76403200,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Azure App Service""",,"""Shared App Service Hours""",,"""7UD-00001""","""Hours""",2615.33037100,0.00000000,0,2615.33037100,USD,0,0,0.0130002696320923044104396247,$34.00 USD
201802(1/1/2018 - 1/31/2018),"""Storage""","""Locally Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""7UD-00001""","""GB""",0.00107800,0.00000000,0,0.00107800,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Azure App Service""",,"""Basic Small App Service Hours""",,"""7UD-00001""","""Hours""",2980.00000000,0.00000000,0,2980.00000000,USD,0,0,0.075,$223.50 USD
201802(1/1/2018 - 1/31/2018),"""Storage""","""Locally Redundant""","""Premium Storage - Page Blob/P10 (Units)""","""US West""","""7UD-00001""","""Units""",0.93811200,0.00000000,0,0.93811200,USD,0,0,19.709800109155410015008868877,$18.49 USD
201802(1/1/2018 - 1/31/2018),"""Networking""","""Public IP Addresses""","""IP Address Hours""",,"""7UD-00001""","""Hours""",387.70000000,0.00000000,0,387.70000000,USD,0,0,0.0039979365488779984524116585,$1.55 USD
201802(1/1/2018 - 1/31/2018),"""Data Services""","""SQL Database""","""Standard S0 Database Days""",,"""8YD-00001""","""Days""",186.29166676,0.00000000,0,186.29166676,USD,0,0,0.4839185862035388876994124114,$90.15 USD
201802(1/1/2018 - 1/31/2018),"""Storage""","""Locally Redundant""","""Premium Storage - Page Blob/P30 (Units)""","""US West""","""7UD-00001""","""Units""",0.93542400,0.00000000,0,0.93542400,USD,0,0,135.16865079365079365079365079,$126.44 USD
201802(1/1/2018 - 1/31/2018),"""Networking""","""DNS""","""Zones""",,"""7UD-00001""","""DNS Zones""",0.93548316,0.00000000,0,0.93548316,USD,0,0,0.5024141749382212289102029373,$0.47 USD
201802(1/1/2018 - 1/31/2018),"""Networking""","""DNS""","""DNS Queries (1M)""",,"""7UD-00001""","""1M Queries""",0.00135200,0.00000000,0,0.00135200,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Block Blob List Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00020000,0.00000000,0,0.00020000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Block Blob Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",6.27380000,0.00000000,0,6.27380000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""","""Geo Redundant""","""Standard IO - Table Write Batch Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",5.29250000,0.00000000,0,5.29250000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Block Blob Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",6.34600000,0.00000000,0,6.34600000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Storage""","""Read-Access Geo Redundant""","""Standard IO - Table (GB)""",,"""7UD-00001""","""GB""",0.02301800,0.00000000,0,0.02301800,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Block Blob Delete Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",6.27330000,0.00000000,0,6.27330000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Disk Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",12.61980000,0.00000000,0,12.61980000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""","""Geo Redundant""","""Standard IO - Table Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00210000,0.00000000,0,0.00210000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Disk Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",12.83810000,0.00000000,0,12.83810000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Data Management""",,"""Standard IO - Table Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.02630000,0.00000000,0,0.02630000,USD,0,0,0,$0.00 USD
201802(1/1/2018 - 1/31/2018),"""Azure App Service""",,"""Basic Small App Service Hours""","""CA Central""","""7UD-00001""","""Hours""",745.00000000,0.00000000,0,745.00000000,USD,0,0,0.09,$67.05 USD
